year,species_code,hauljoin,sex,age,length
2013,21720,-9814,2,3,440
2013,21720,-9752,1,1,170
2013,21720,-9863,2,2,260
2013,21720,-10003,1,6,710
2013,21720,-10053,1,2,340
2013,21720,-10148,1,2,320
2013,21720,-10046,2,3,410
2013,21720,-10043,1,4,550
2013,21720,-10001,2,6,750
2013,21720,-9883,2,2,250
2013,21720,-10042,2,2,350
2013,21720,-10025,2,5,660
2013,21720,-10077,2,5,640
2013,21720,-10163,2,2,210
2013,21720,-10148,1,2,260
2013,21720,-10147,2,2,330
2013,21720,-10098,2,9,940
2013,21720,-9752,2,1,160
2013,21720,-10028,1,5,700
2013,21720,-9864,2,5,610
2013,21720,-10144,2,2,290
2013,21720,-9895,1,4,550
2013,21720,-10080,2,2,310
2013,21720,-10033,2,5,650
2013,21720,-10042,2,2,290
2013,21720,-10148,3,1,120
2013,21720,-9756,2,7,820
2013,21720,-10077,2,7,750
2013,21720,-10144,2,2,270
2013,21720,-10028,2,5,690
2013,21720,-10212,1,4,510
2013,21720,-10042,2,2,340
2013,21720,-10025,2,4,490
2013,21720,-10042,2,1,150
2013,21720,-10041,2,1,150
2013,21720,-10072,2,5,640
2013,21720,-10126,2,2,250
2013,21720,-10208,2,5,640
2013,21720,-10123,2,1,150
2013,21720,-10179,2,5,550
2013,21720,-10003,2,6,840
2013,21720,-10073,1,5,580
2013,21720,-10120,2,3,460
2013,21720,-9748,1,5,620
2013,21720,-10246,1,2,310
2013,21720,-9752,1,7,840
2013,21720,-9883,2,3,390
2013,21720,-10167,2,4,560
2013,21720,-10030,1,4,600
2013,21720,-10105,2,6,750
2013,21720,-10123,2,1,120
2013,21720,-10147,1,5,620
2013,21720,-10042,1,2,260
2013,21720,-9757,1,4,530
2013,21720,-10148,1,5,550
2013,21720,-10046,2,2,330
2013,21720,-9866,1,7,750
2013,21720,-9757,1,3,510
2013,21720,-10041,1,1,180
2013,21720,-10003,1,1,180
2013,21720,-9868,2,5,610
2013,21720,-10203,2,3,370
2013,21720,-10034,2,4,610
2013,21720,-9864,1,5,710
2013,21720,-9752,1,3,480
2013,21720,-10073,1,2,270
2013,21720,-10033,1,2,280
2013,21720,-10041,2,2,260
2013,21720,-9748,1,6,660
2013,21720,-10072,1,2,320
2013,21720,-10030,1,3,400
2013,21720,-9748,1,6,600
2013,21720,-9813,1,2,340
2013,21720,-10212,2,5,630
2013,21720,-9814,2,3,460
2013,21720,-9859,1,1,170
2013,21720,-10041,1,1,140
2013,21720,-10141,2,5,660
2013,21720,-9814,1,6,780
2013,21720,-10208,2,5,750
2013,21720,-10144,1,3,400
2013,21720,-10118,1,5,580
2013,21720,-9863,1,2,280
2013,21720,-10147,2,3,450
2013,21720,-10149,1,5,630
2013,21720,-10246,1,3,330
2013,21720,-9902,1,2,260
2013,21720,-10042,1,5,630
2013,21720,-10246,1,1,210
2013,21720,-9752,1,5,570
2013,21720,-10222,1,4,550
2013,21720,-9748,2,7,760
2013,21720,-9754,1,3,410
2013,21720,-9750,1,5,580
2013,21720,-9834,1,4,570
2013,21720,-9883,2,2,310
2013,21720,-10022,1,4,560
2013,21720,-10003,2,8,850
2013,21720,-9813,1,2,330
2013,21720,-9880,2,5,560
2013,21720,-9868,1,5,670
2013,21720,-9814,1,3,430
2013,21720,-9814,1,4,450
2013,21720,-9814,2,4,480
2013,21720,-9864,2,5,680
2013,21720,-9864,2,2,280
2013,21720,-10028,1,3,480
2013,21720,-9814,1,3,400
2013,21720,-10069,2,6,590
2013,21720,-9814,2,5,540
2013,21720,-9992,1,5,580
2013,21720,-10272,1,7,720
2013,21720,-10147,1,3,440
2013,21720,-10203,2,3,430
2013,21720,-10089,2,5,670
2013,21720,-10129,2,6,780
2013,21720,-10120,2,7,910
2013,21720,-10034,1,3,440
2013,21720,-10028,2,5,680
2013,21720,-9863,2,2,310
2013,21720,-10126,2,2,270
2013,21720,-10077,2,1,190
2013,21720,-10212,2,5,610
2013,21720,-10043,2,1,180
2013,21720,-9873,1,3,460
2013,21720,-10046,2,5,610
2013,21720,-10028,1,4,510
2013,21720,-9754,2,4,520
2013,21720,-10053,1,2,270
2013,21720,-10284,2,9,940
2013,21720,-9871,1,1,160
2013,21720,-10030,1,4,500
2013,21720,-10003,1,7,770
2013,21720,-9813,2,2,240
2013,21720,-10141,2,9,970
2013,21720,-9870,1,4,530
2013,21720,-9863,1,5,600
2013,21720,-9902,1,5,670
2013,21720,-9859,1,1,110
2013,21720,-10123,1,2,290
2013,21720,-9860,2,5,550
2013,21720,-10050,2,5,630
2013,21720,-10100,2,5,710
2013,21720,-10148,2,4,450
2013,21720,-9868,2,1,180
2013,21720,-10202,2,3,470
2013,21720,-10123,1,3,420
2013,21720,-10269,2,7,750
2013,21720,-9895,1,2,290
2013,21720,-10028,1,5,640
2013,21720,-10267,1,5,740
2013,21720,-10231,2,5,660
2013,21720,-9834,1,6,760
2013,21720,-10231,1,5,560
2013,21720,-10208,1,6,740
2013,21720,-9750,2,4,580
2013,21720,-9838,2,4,550
2013,21720,-10202,1,6,720
2013,21720,-9835,2,4,520
2013,21720,-10202,1,2,340
2013,21720,-10022,1,5,600
2013,21720,-10120,2,6,790
2013,21720,-10144,3,1,110
2013,21720,-10147,1,5,580
2013,21720,-9748,1,5,640
2013,21720,-9838,1,4,510
