year,species_code,sex,age,agepop,mean_length,sd_length
2013,21720,1,1,20086523,17.82,3.3
2013,21720,1,2,170523994,28.73,3.42
2013,21720,1,3,66163621,44.01,4.56
2013,21720,1,4,42738095,50.51,5.08
2013,21720,1,5,43564288,61.03,5.19
2013,21720,1,6,18422080,66.61,6.29
2013,21720,1,7,4178008,71.74,6.73
2013,21720,1,8,1153437,75.67,5.32
2013,21720,1,9,319878,81.06,6.55
2013,21720,1,10,27808,80,0
2013,21720,1,11,115033,81.76,5.57
2013,21720,1,12,29759,101,0
2013,21720,2,1,14690561,18.19,3.47
2013,21720,2,2,161771594,28.87,3.27
2013,21720,2,3,68555942,44.24,5.21
2013,21720,2,4,41511971,50.64,5.55
2013,21720,2,5,43912154,63.03,6.63
2013,21720,2,6,19683028,66.35,6.35
2013,21720,2,7,4991516,78.23,7.99
2013,21720,2,8,1281909,76.1,7.03
2013,21720,2,9,387873,82.06,7.96
2013,21720,2,10,58421,92,0
2013,21720,2,11,29041,94,0
2013,21720,2,12,28626,97,0
2013,21720,2,13,58421,92,0
2013,21720,3,1,39367681,13.41,1.86
2013,21720,3,2,24974,23,0
2013,21720,3,3,66115,44.02,0.81
2013,21720,3,4,36525,48.71,8.74
2013,21720,3,5,102238,65.45,4.78
2013,21720,3,6,58138,67.8,5.98
2013,21720,3,7,28816,74.74,7.45
2013,21720,3,8,7077,76.18,6.28
2014,21720,1,1,133398787,18.46,2.56
2014,21720,1,2,111678081,32.14,3.4
2014,21720,1,3,134397497,44.68,4.91
2014,21720,1,4,109547529,51.73,6.12
2014,21720,1,5,22481079,61.81,5.41
2014,21720,1,6,20987815,65.8,7.01
2014,21720,1,7,5120541,71.12,7.46
2014,21720,1,8,923343,74.86,7.75
2014,21720,1,9,325833,83.21,4.24
2014,21720,1,10,366364,82.79,7.34
2014,21720,2,1,122735043,18.58,2.53
2014,21720,2,2,100030153,31.76,3.6
2014,21720,2,3,137858487,44.11,5.05
2014,21720,2,4,107298132,51.83,6.52
2014,21720,2,5,33111134,60.86,6.08
2014,21720,2,6,20550771,69.17,6.71
2014,21720,2,7,5628732,71.25,8.1
2014,21720,2,8,1199532,83.69,5.65
2014,21720,2,9,422921,81.85,6.01
2014,21720,2,10,329986,89.46,5.34
2014,21720,2,12,429750,84,0
2014,21720,3,1,49878255,15.25,2.28
2014,21720,3,2,968939,24.06,2.07
2014,21720,3,3,31378,44.86,7.94
2014,21720,3,4,69670,55.94,3.45
2014,21720,3,5,32775,62.21,7.69
2014,21720,3,6,48853,71.9,6.55
2014,21720,3,7,18153,76.96,4.53
2014,21720,3,8,4875,80.65,2.76
2014,21720,3,10,4875,80.65,2.76
2014,21740,1,1,43309957,16.11,1.58
2014,21740,1,2,220621578,24.78,2.03
2014,21740,1,3,111378124,33.38,3.59
2014,21740,1,4,156179791,39,3.48
2014,21740,1,5,697284730,42.24,2.87
2014,21740,1,6,2310713981,45.61,2.7
2014,21740,1,7,1058638908,46.91,3.44
2014,21740,1,8,219782435,52.14,4.06
2014,21740,1,9,146454868,52.61,4.73
2014,21740,1,10,50839087,55.87,3.76
2014,21740,1,11,32237803,56.98,5.64
2014,21740,1,12,35524935,58.05,5.53
2014,21740,1,13,44088821,59.66,3.47
2014,21740,1,14,11425921,59.49,6.82
2014,21740,1,15,18333082,62.38,4.53
2014,21740,1,16,7336651,60.54,4.01
2014,21740,1,17,8033934,60.93,4.61
2014,21740,1,18,4158249,53,0
2014,21740,1,19,1054883,71.57,2.64
2014,21740,1,22,779261,70,0
2014,21740,2,1,43898496,16.34,1.67
2014,21740,2,2,197584470,25.99,2.05
2014,21740,2,3,57569020,32.4,2.29
2014,21740,2,4,81328761,37.63,1.55
2014,21740,2,5,507389421,42.31,3.28
2014,21740,2,6,2253845973,46.6,3.17
2014,21740,2,7,1249443981,47.69,3.76
2014,21740,2,8,273361986,53.01,5.18
2014,21740,2,9,149085739,55.26,5.07
2014,21740,2,10,57371039,57.7,3.91
2014,21740,2,11,10258783,63.83,3.16
2014,21740,2,12,22420467,61.8,5.46
2014,21740,2,13,18675022,62.34,3.44
2014,21740,2,14,16378412,64.88,4.47
2014,21740,2,15,15714211,66.52,5.85
2014,21740,2,16,7303059,62.97,5.99
2014,21740,2,17,2751073,66.72,5.48
2014,21740,2,18,3348002,68.44,3.48
2014,21740,2,19,563304,77.79,1.32
2014,21740,2,20,3141035,74.48,2.59
2014,21740,2,21,434605,76,0
2014,21740,2,22,218616,75,0
2014,21740,2,23,718485,72.07,4.05
2014,21740,3,1,1615212115,13.61,1.7
2014,21740,3,2,4551740,20.88,2.49
2015,21720,1,1,22836074,22.09,4.05
2015,21720,1,2,215243259,34.63,3.17
2015,21720,1,3,92232364,45.09,4.55
2015,21720,1,4,95466472,54.64,4.27
2015,21720,1,5,38221532,61.67,5.39
2015,21720,1,6,8464128,70.83,5.49
2015,21720,1,7,5714837,73.16,6.82
2015,21720,1,8,1108549,81.15,4.7
2015,21720,1,9,74342,87,0
2015,21720,1,12,65885,86,0
2015,21720,2,1,26242569,21.34,4.87
2015,21720,2,2,194565622,34.53,3.01
2015,21720,2,3,100531041,44.4,4.45
2015,21720,2,4,91926405,55.31,4.76
2015,21720,2,5,40018787,61.88,6.29
2015,21720,2,6,9760040,72.19,4.28
2015,21720,2,7,5208103,78.94,6.86
2015,21720,2,8,1077498,83.96,6.49
2015,21720,2,9,298948,84.13,15.13
2015,21720,2,10,150724,94.02,1.99
2015,21720,2,11,25737,98,0
2015,21720,2,13,29457,103,0
2015,21720,3,1,8142097,14.67,4.79
2015,21720,3,2,17183162,33.96,3.1
2015,21720,3,3,7059998,44.42,4.07
2015,21720,3,4,2997272,52.75,4.39
2015,21720,3,5,695316,59.59,6.3
2015,21720,3,6,79250,69.86,3.01
2015,21720,3,7,21318,68.43,5.49
2015,21720,3,8,2213,74.42,0.49
2015,21740,1,1,174304301,16.33,1.58
2015,21740,1,2,325884593,24.58,3.39
