year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2013,21720,0,1,18.986800000000006,1.2469770099431077,16.19,4.33
2013,21720,0,2,29.779639999999983,0.714868620579599,28.87,3.29
2013,21720,0,3,39.83053999999998,1.4229795677029942,43.6,3.91
2013,21720,0,4,52.04116000000001,0.8564122478552914,51.7,3.7
2013,21720,0,5,60.842200000000034,0.746834307571587,63.09,4.33
2013,21720,0,6,66.25769999999996,1.0744797454800596,70.49,5.18
2013,21720,0,7,72.05719999999988,1.8649296193073719,79.32,4.73
2013,21720,0,8,76.95323999999994,3.4005165678550244,85.08,5.76
2013,21720,0,9,82.29669338677358,5.585868328928715,89.58,7.31
2013,21720,0,10,85.03318627450983,7.439333352646681,NA,NA
2013,21720,0,11,89.06237410071941,8.583944532852742,97,0
2013,21720,0,12,91.57618181818181,6.64895856253669,NA,NA
2013,21720,0,13,97,0,NA,NA
2013,21720,0,14,90.60272727272728,7.923123236336908,NA,NA
2013,21720,0,17,97,0,NA,NA
2013,21720,1,1,21.960519999999995,1.491928090913538,18.95,3.81
2013,21720,1,2,29.950859999999984,0.8128794538016234,28.85,3.2
2013,21720,1,3,40.04503999999999,1.6672452765037447,43.62,4
2013,21720,1,4,51.88452000000005,1.1533250569435956,51.69,3.72
2013,21720,1,5,60.199519999999964,1.0185305978504107,62.5,4.18
2013,21720,1,6,64.96632000000005,1.4943790667666559,69.76,4.83
2013,21720,1,7,69.78939999999999,2.838936272323955,78.52,4.7
2013,21720,1,8,74.59304,5.3712323196509875,83.91,4.27
2013,21720,1,9,80.52931924882634,6.851838242413003,85.14,8.28
2013,21720,1,10,81.98502202643172,7.294184820100063,NA,NA
2013,21720,1,11,82.59634615384616,9.245088580333896,NA,NA
2013,21720,1,12,83.9090909090909,7.7130350116480795,NA,NA
2013,21720,1,14,89.33333333333333,1.1547005383792517,NA,NA
2013,21720,2,1,23.20576000000001,1.7467495213053188,19.08,4.84
2013,21720,2,2,29.983979999999974,0.8034921024611473,28.96,3.36
2013,21720,2,3,39.94172000000003,1.7117999766093699,43.64,3.73
2013,21720,2,4,52.39162000000006,1.0920446413023575,51.72,3.62
2013,21720,2,5,61.35557999999999,1.1022474142971028,63.75,4.41
2013,21720,2,6,67.10027999999997,1.327121103157089,70.98,5.18
2013,21720,2,7,73.14425999999993,2.5006760713911063,80.45,4.39
2013,21720,2,8,79.00801999999993,4.06367330885767,85.04,5.69
2013,21720,2,9,84.74638036809813,6.373350364072287,93.71,2.41
2013,21720,2,10,87.5607552870091,7.923216080871233,NA,NA
2013,21720,2,11,90.74220472440945,8.644377557382642,97,0
2013,21720,2,12,90.77605263157893,7.10401581881064,NA,NA
2013,21720,2,13,97,0,NA,NA
2013,21720,2,14,93.4375,2.5275270240183105,NA,NA
2013,21720,2,17,97,0,NA,NA
2013,21720,3,1,13.490979999999997,0.34921274128724844,13.41,1.86
2013,21720,3,2,14.797590361445792,3.89600912982833,23,0
2013,21720,3,3,45.58579399141632,7.980930599822907,43.96,0.81
2013,21720,3,4,56.166277056277075,7.459033975320277,53.56,7.8
2013,21720,3,5,64.05079812206576,5.678483171253414,64.97,3.91
2013,21720,3,6,68.81683417085428,3.2557320933417273,70.46,5.25
2013,21720,3,7,73.24298882681563,5.02959290274887,79.74,3.12
2013,21720,3,8,75.31707317073172,5.926278280324733,81,0
2013,21720,3,9,77.4556626506024,5.369955986732263,NA,NA
2013,21720,3,10,77.61074074074074,5.313875107769156,NA,NA
2013,21720,3,11,79.71428571428571,3.401680257083045,NA,NA
2013,21720,3,12,81,NA,NA,NA
2013,21720,4,1,19.012678981113083,1.3233001068478853,16.241217852491154,3.045813398345087
2013,21720,4,2,29.852667712233107,0.7149193224619996,28.90451219085069,3.2796472313196134
2013,21720,4,3,39.96495081674572,1.4640234185274565,43.62978755848754,3.8687997797910914
2013,21720,4,4,52.123658390569496,0.8486033520444825,51.70565602402339,3.6693239357920047
2013,21720,4,5,60.76532917963627,0.7936949494221595,63.11637541037423,4.2923929673014625
2013,21720,4,6,66.05490964712419,1.0726169062868491,70.46043578834885,5.031270082292676
2013,21720,4,7,71.56177107264517,2.001194509509734,79.57419779672408,4.525997097804586
2013,21720,4,8,76.84394458104649,3.9110523860600828,84.84050646015926,5.438296499417436
2013,21720,4,9,82.35459724979428,5.567516325057861,89.9907694996292,4.957477600604038
2013,21720,4,10,85.21474906486378,7.773034168699989,NA,NA
2013,21720,4,11,88.54833894509083,9.602123428686687,97,0
2013,21720,4,12,89.51297158146194,7.710761039106996,NA,NA
2013,21720,4,13,97,0,NA,NA
2013,21720,4,14,92.31818181818181,2.9006268914902456,NA,NA
2013,21720,4,17,97,0,NA,NA
2014,21720,0,1,18.869020000000006,0.4618305040042912,18.1,2.9
2014,21720,0,2,33.34280000000002,1.0453390011161494,32.34,3.46
2014,21720,0,3,43.42939999999994,0.9422286504131141,43.68,3.74
2014,21720,0,4,50.96966000000003,0.6453928635308832,52.19,4.35
2014,21720,0,5,58.31668,0.9612751309353162,61.56,3.84
2014,21720,0,6,65.85336000000005,1.4678963689238418,70.63,4.98
2014,21720,0,7,71.22471999999998,2.193026048202846,78.96,5.62
2014,21720,0,8,76.31418000000001,3.7440858276714146,84.77,5.46
2014,21720,0,9,82.43281632653061,6.170098671371214,92.09,3.96
2014,21720,0,10,84.69425133689845,8.135605545264283,96,0
2014,21720,0,11,88.15140350877195,9.559357818731144,NA,NA
2014,21720,0,12,88.95148936170212,6.007733052427695,NA,NA
