year,species_code,sex,age,agepop,mean_length,sd_length
2015,21740,1,6,1052603684,46.14,2.01
2015,21740,1,7,1243535787,48.77,2.49
2015,21740,1,8,394606866,51.89,3.03
2015,21740,1,9,103493173,55.16,3.34
2015,21740,1,10,58949275,55.63,3.66
2015,21740,1,11,16523391,56.46,5.31
2015,21740,1,12,4578278,64.75,0.43
2015,21740,1,13,15127029,57.81,2.74
2015,21740,1,14,7199721,61.96,4.47
2015,21740,1,15,1489236,68.43,0.9
2015,21740,1,16,3087447,65.07,4.44
2015,21740,1,17,4379746,68,0
2015,21740,1,18,3275398,63.34,0.47
2015,21740,1,19,767662,70,0
2015,21740,1,20,834493,70.8,2.71
2015,21740,2,1,182244312,17.3,2.18
2015,21740,2,2,234824145,24.65,2.35
2015,21740,2,3,331876112,35.2,2.33
2015,21740,2,4,588280899,38.35,2.49
2015,21740,2,5,561720265,43.48,2.39
2015,21740,2,6,1146798148,46.95,2.55
2015,21740,2,7,1319856176,49.82,2.87
2015,21740,2,8,474437948,52.74,3.31
2015,21740,2,9,99913944,56.33,4.4
2015,21740,2,10,50296768,58.27,4.79
2015,21740,2,11,21296587,61.55,5.75
2015,21740,2,12,18217277,62.1,4.16
2015,21740,2,13,4317708,61.98,6.71
2015,21740,2,14,7397984,66.65,2.47
2015,21740,2,15,2167360,61.54,3.61
2015,21740,2,16,3194731,64.66,1.89
2015,21740,2,18,553706,72,0
2015,21740,2,20,332889,70,0
2015,21740,2,21,553706,72,0
2015,21740,3,1,553669151,13.44,1.76
2015,21740,3,2,545529,20.51,0.73
2015,21740,3,3,3310413,14,0
2015,21740,3,4,1438,47.16,2.41
2015,21740,3,5,19105,46.22,2.88
2015,21740,3,6,123904,49.22,2.33
2015,21740,3,7,385246,51.32,2.55
2015,21740,3,8,227968,53.31,2.73
2015,21740,3,9,61356,55.56,2.74
2015,21740,3,10,34003,56.25,2.44
2015,21740,3,11,8184,56.21,2.98
2015,21740,3,12,4026,57.88,0.82
2015,21740,3,13,4277,56.85,0.97
2015,21740,3,14,1650,57,0
2016,21720,1,1,30483874,22.23,2.34
2016,21720,1,2,30760238,34.4,3.85
2016,21720,1,3,135530160,44.87,3.33
2016,21720,1,4,72534002,52.86,3.52
2016,21720,1,5,47279294,63.24,4.14
2016,21720,1,6,10304769,72.05,3.8
2016,21720,1,7,2611253,76.87,4.83
2016,21720,1,8,597053,79.57,6.21
2016,21720,1,9,358697,86.19,4.13
2016,21720,1,10,32050,94,0
2016,21720,2,1,26712781,21.97,2.39
2016,21720,2,2,29404052,33.14,4.51
2016,21720,2,3,127268389,44.88,3.3
2016,21720,2,4,70253241,53.49,3.69
2016,21720,2,5,48694046,64.55,4.25
2016,21720,2,6,13348855,74.68,4.93
2016,21720,2,7,3740619,78.48,7.98
2016,21720,2,8,1007362,86.89,4.59
2016,21720,2,9,140245,93.07,4.22
2016,21720,2,10,233628,97.91,5.5
2016,21720,3,1,8438674,13.82,2.12
2016,21720,3,2,323987,35.16,3.9
2016,21720,3,3,603736,42.49,3.96
2016,21720,3,4,208515,53.34,2.99
2016,21720,3,5,120134,63.18,4.53
2016,21720,3,6,46519,74.34,3.24
2016,21720,3,7,10370,75.29,2.84
2016,21740,1,1,184852757,16.41,2.33
2016,21740,1,2,178823543,24.7,3.05
2016,21740,1,3,162117063,31.96,2.22
2016,21740,1,4,946901281,39.96,2.1
2016,21740,1,5,1061512418,43.38,2.26
2016,21740,1,6,306831673,46,2.24
2016,21740,1,7,461203029,47.8,2.5
2016,21740,1,8,711181949,49.78,2.69
2016,21740,1,9,156926630,51.64,3.28
2016,21740,1,10,10351587,56.17,3.07
2016,21740,1,11,3446067,61.2,0.4
2016,21740,1,12,3671756,58.83,3.43
2016,21740,1,14,1363168,62,0
2016,21740,1,16,515787,69,0
2016,21740,2,1,162856520,16.72,2.35
2016,21740,2,2,169251368,23.24,1.97
2016,21740,2,3,122478813,31.87,2.6
2016,21740,2,4,854169988,40.28,2
2016,21740,2,5,1093146512,44.02,2.22
2016,21740,2,6,325507247,47.49,2.33
2016,21740,2,7,396095103,49.06,2.74
2016,21740,2,8,626617665,51.13,3.05
2016,21740,2,9,180361244,53.29,3.31
2016,21740,2,10,36619460,57.82,4.23
2016,21740,2,11,7719221,61.75,3.7
2016,21740,2,12,1921188,58,0
2016,21740,2,15,2723897,66,0
2016,21740,3,1,240952161,13.59,1.49
2016,21740,3,2,1147384,21.96,2.87
2016,21740,3,3,407429,29.46,1.07
2016,21740,3,4,932232,40.93,1.99
2016,21740,3,5,1485960,43.67,2
2016,21740,3,6,421365,46.24,2.24
2016,21740,3,7,488105,47.87,2.25
2016,21740,3,8,654713,49.28,1.39
2016,21740,3,9,109226,49.94,1.29
2017,21720,1,1,21460910,22.62,3.19
2017,21720,1,2,39565437,35.05,4.32
2017,21720,1,3,35369899,46.39,2.9
2017,21720,1,4,87938918,55.48,3.7
2017,21720,1,5,41027286,65.22,4.47
2017,21720,1,6,12821563,74.48,3.87
2017,21720,1,7,1235467,81.62,3.41
2017,21720,1,8,473388,83.72,3.21
2017,21720,1,9,95861,88,0
2017,21720,2,1,27420976,22.44,3.45
2017,21720,2,2,37950727,34.55,4.06
2017,21720,2,3,38451808,46.13,3.1
2017,21720,2,4,87916424,56.23,3.55
2017,21720,2,5,37015081,66.34,3.94
2017,21720,2,6,19832822,76.47,4.48
2017,21720,2,7,1344870,84.45,4.65
2017,21720,2,8,155974,94.23,0.93
2017,21720,3,1,2776943,13.99,1.22
2017,21720,3,2,18365,41,0
2017,21720,3,3,11019,41,0
2017,21720,3,4,4897,64,0
2017,21720,3,5,127800,67.76,2.99
2017,21720,3,6,72991,74.33,2.26
2017,21740,1,1,235199776,16.22,1.83
2017,21740,1,2,93872223,23.35,1.95
2017,21740,1,3,183867341,31.12,3.34
2017,21740,1,4,1082727387,39.29,2.04
2017,21740,1,5,1599676122,43.99,2.1
2017,21740,1,6,570529162,47,2.34
2017,21740,1,7,362721046,47.34,2.55
2017,21740,1,8,592254680,50.07,2.97
2017,21740,1,9,432548236,50.62,2.84
2017,21740,1,10,83750866,51.47,4.25
2017,21740,1,11,20463311,57.39,2
2017,21740,1,12,625771,68,0
2017,21740,1,13,2213139,60,0
2017,21740,1,15,594550,65,0
2017,21740,1,18,398126,71,0
2017,21740,2,1,157258438,16.37,1.63
2017,21740,2,2,117199666,23.64,2.37
2017,21740,2,3,164027412,31.62,2.99
2017,21740,2,4,754395539,39.88,2.38
2017,21740,2,5,1160056896,44.89,2.37
2017,21740,2,6,486875314,47.67,2.29
2017,21740,2,7,487743358,49.7,2.59
2017,21740,2,8,590565372,51.78,3.49
2017,21740,2,9,457766241,52.96,3.31
2017,21740,2,10,105310918,55.65,3.78
2017,21740,2,11,5376834,58.95,1
2017,21740,2,12,7764314,58.64,0.48
2017,21740,2,13,6645354,63.08,2.43
2017,21740,2,17,4133172,63,0
2017,21740,2,19,1667530,66,0
2017,21740,3,1,345512809,13.55,1.94
2017,21740,3,2,16646306,22.72,2.28
2017,21740,3,3,8834283,29.92,3.37
2017,21740,3,4,30771612,38.82,1.95
2017,21740,3,5,17413237,43.41,2.2
2017,21740,3,6,4021044,46.63,2.09
2017,21740,3,7,2553627,47.45,2.42
2017,21740,3,8,2568619,48.9,2.36
2017,21740,3,9,1337355,50.01,2.94
2017,21740,3,10,294422,51.18,4.39
2017,21740,3,11,25600,58,0
2017,21740,3,12,12800,58,0
2018,21720,1,1,9245732,23.42,2.3
2018,21720,1,2,15833555,34.25,3.17
2018,21720,1,3,31118674,43.32,3.51
2018,21720,1,4,25190928,54.12,3.8
2018,21720,1,5,30649188,63.55,4.4
2018,21720,1,6,6588098,72.2,5.36
2018,21720,1,7,2825406,79.65,3.75
2018,21720,1,8,64697,83,0
2018,21720,2,1,8669461,23,2.53
2018,21720,2,2,12809612,33.77,3.4
2018,21720,2,3,30612373,43.03,3.78
2018,21720,2,4,20948230,54.55,4.12
2018,21720,2,5,30614499,64.83,4.37
2018,21720,2,6,12198115,74.87,4.52
2018,21720,2,7,4322761,83.86,5.04
2018,21720,2,8,519570,88.27,5.78
2018,21720,2,9,43767,94,0
2018,21720,2,10,54015,99,0
2018,21720,3,1,471609,19.51,2
2018,21720,3,2,76935,32.37,2.26
2018,21720,3,3,62255,49.45,3.51
2018,21720,3,4,559880,54.56,2.95
2018,21720,3,5,430092,62.99,4.46
2018,21720,3,6,73714,72.34,5.7
2018,21720,3,7,47115,81.54,3.54
2018,21740,1,1,208062927,16.69,1.54
2018,21740,1,2,171100032,23.92,2.24
2018,21740,1,3,82586624,31.94,2.5
2018,21740,1,4,106993361,38.34,2.59
2018,21740,1,5,861873737,42.26,1.98
2018,21740,1,6,603126868,45.82,2.36
2018,21740,1,7,305793505,48.66,2.39
2018,21740,1,8,155889333,49.81,2.69
2018,21740,1,9,176273159,51.1,2.52
2018,21740,1,10,97822496,53.05,3.29
2018,21740,1,11,14204965,54.12,0.84
2018,21740,1,12,2276527,60,0
2018,21740,1,16,711606,65,0
2018,21740,2,1,147954430,16.64,1.6
2018,21740,2,2,151554250,23.63,2.45
