year,species_code,length,sex,abund
2013,21720,79,2,982209
2013,21720,80,0,387627
2013,21720,80,1,83425
2013,21720,80,2,304203
2013,21720,81,0,1237132
2013,21720,81,1,341162
2013,21720,81,2,867041
2013,21720,81,3,28928
2013,21720,82,0,495116
2013,21720,82,1,132933
2013,21720,82,2,362183
2013,21720,83,0,967656
2013,21720,83,1,787977
2013,21720,83,2,179679
2013,21720,84,0,464854
2013,21720,84,1,59858
2013,21720,84,2,404995
2013,21720,85,0,437711
2013,21720,85,1,131271
2013,21720,85,2,306441
2013,21720,86,0,274484
2013,21720,86,1,96047
2013,21720,86,2,178437
2013,21720,87,0,297703
2013,21720,87,1,150939
2013,21720,87,2,146765
2013,21720,88,0,202863
2013,21720,88,1,42199
2013,21720,88,2,160663
2013,21720,89,0,135444
2013,21720,89,1,88760
2013,21720,89,2,46684
2013,21720,90,0,200083
2013,21720,90,1,36037
2013,21720,90,2,164045
2013,21720,91,0,147163
2013,21720,91,2,147163
2013,21720,92,0,175262
2013,21720,92,2,175262
2013,21720,93,0,191191
2013,21720,93,1,29419
2013,21720,93,2,161772
2013,21720,94,0,58082
2013,21720,94,2,58082
2013,21720,95,0,64355
2013,21720,95,1,16532
2013,21720,95,2,47823
2013,21720,96,0,15083
2013,21720,96,2,15083
2013,21720,97,0,57252
2013,21720,97,2,57252
2013,21720,98,0,18667
2013,21720,98,2,18667
2013,21720,99,0,50428
2013,21720,99,2,50428
2013,21720,100,0,27572
2013,21720,100,2,27572
2013,21720,101,0,29759
2013,21720,101,1,29759
2013,21740,4,0,508354
2013,21740,4,1,508354
2013,21740,6,0,31641
2013,21740,6,3,31641
2013,21740,7,0,284676
2013,21740,7,3,284676
2013,21740,8,0,3961543
2013,21740,8,3,3961543
2013,21740,9,0,12606489
2013,21740,9,1,31839
2013,21740,9,3,12574650
2013,21740,10,0,36493169
2013,21740,10,3,36493169
2013,21740,11,0,71630812
2013,21740,11,1,139433
2013,21740,11,2,79676
2013,21740,11,3,71411703
2013,21740,12,0,128483960
2013,21740,12,1,347710
2013,21740,12,2,427386
2013,21740,12,3,127708864
2013,21740,13,0,163037942
2013,21740,13,1,1063003
2013,21740,13,2,1111367
2013,21740,13,3,160863572
2013,21740,14,0,161866482
2013,21740,14,1,2530047
2013,21740,14,2,2469308
2013,21740,14,3,156867126
2013,21740,15,0,147004415
2013,21740,15,1,8281090
2013,21740,15,2,4721428
2013,21740,15,3,134001897
2013,21740,16,0,143787490
2013,21740,16,1,18239761
2013,21740,16,2,22610323
2013,21740,16,3,102937406
2013,21740,17,0,74732920
2013,21740,17,1,20464963
2013,21740,17,2,13805349
2013,21740,17,3,40462609
2013,21740,18,0,34225696
2013,21740,18,1,13540591
2013,21740,18,2,8430355
2013,21740,18,3,12254752
2013,21740,19,0,11671833
2013,21740,19,1,5543048
2013,21740,19,2,3425620
2013,21740,19,3,2703165
2013,21740,20,0,14946443
2013,21740,20,1,5196501
2013,21740,20,2,8937977
2013,21740,20,3,811964
2013,21740,21,0,12475901
2013,21740,21,1,7831387
2013,21740,21,2,4500199
2013,21740,21,3,144317
2013,21740,22,0,14034921
