year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2013,21720,0,1,16.122260000000022,1.07478622211419,16.19,4.33
2013,21720,0,2,29.0047,0.5030549060261255,28.87,3.29
2013,21720,0,3,43.626419999999996,0.48396593853216424,43.6,3.91
2013,21720,0,4,51.71744000000001,0.5139054816677636,51.7,3.7
2013,21720,0,5,63.087500000000034,0.41005492324828907,63.09,4.33
2013,21720,0,6,70.50027999999995,1.1030992600646194,70.49,5.18
2013,21720,0,7,78.98328000000004,0.9884706318247194,79.32,4.73
2013,21720,0,8,84.67899999999999,2.7770222009572083,85.08,5.76
2013,21720,0,9,88.76142566191449,4.853497582122263,89.58,7.31
2013,21720,0,11,97,0,97,0
2013,21720,1,1,18.419199999999993,1.5274340147249168,18.95,3.81
2013,21720,1,2,28.987739999999953,0.5624558699233411,28.85,3.2
2013,21720,1,3,43.6642,0.6443414559250764,43.62,4
2013,21720,1,4,51.76522000000002,0.7126617185243643,51.69,3.72
2013,21720,1,5,62.546700000000044,0.5389216855595372,62.5,4.18
2013,21720,1,6,69.94256000000001,1.6184046198113913,69.76,4.83
2013,21720,1,7,77.18900000000009,1.6761909892565732,78.52,4.7
2013,21720,1,8,83.4007481296758,4.078338379647126,83.91,4.27
2013,21720,1,9,85.33995061728402,6.550092773700993,85.14,8.28
2013,21720,2,1,18.60168000000001,2.0821169995944033,19.08,4.84
2013,21720,2,2,29.087519999999984,0.5090297360118449,28.96,3.36
2013,21720,2,3,43.70320000000001,0.5806493497237979,43.64,3.73
2013,21720,2,4,51.69247999999996,0.6712097247427055,51.72,3.62
2013,21720,2,5,63.71671999999996,0.5313461197731626,63.75,4.41
2013,21720,2,6,70.92308,1.3203230739630654,70.98,5.18
2013,21720,2,7,79.99255999999997,1.1429381705601784,80.45,4.39
2013,21720,2,8,84.65585170340682,3.242704853222469,85.04,5.69
2013,21720,2,9,93.32873563218389,1.9672938702400578,93.71,2.41
2013,21720,2,11,97,0,97,0
2013,21720,3,1,13.497080000000006,0.34912411675190186,13.41,1.86
2013,21720,3,2,23,0,23,0
2013,21720,3,3,43.91330808080808,0.6482845257793177,43.96,0.81
2013,21720,3,4,53.5274107142857,6.864566785761748,53.56,7.8
2013,21720,3,5,65.56522388059703,2.0505796454712053,64.97,3.91
2013,21720,3,6,69.81589333333334,3.2108681900766878,70.46,5.25
2013,21720,3,7,78.66460317460317,3.3505353442245984,79.74,3.12
2013,21720,3,8,81,0,81,0
2013,21720,4,1,16.03459522480726,1.1387041145743715,16.241217852491154,3.045813398345087
2013,21720,4,2,29.035738188713744,0.5063667232721224,28.90451219085069,3.2796472313196134
2013,21720,4,3,43.68579197681401,0.46600069176026504,43.62978755848754,3.8687997797910914
2013,21720,4,4,51.71910911498424,0.5389875365171102,51.70565602402339,3.6693239357920047
2013,21720,4,5,63.11753057399,0.39940470404486006,63.11637541037423,4.2923929673014625
2013,21720,4,6,70.43345603526133,1.1220623669979204,70.46043578834885,5.031270082292676
2013,21720,4,7,78.8180008115278,1.0535526804180977,79.57419779672408,4.525997097804586
2013,21720,4,8,84.36146045636053,2.8191224562731314,84.84050646015926,5.438296499417436
2013,21720,4,9,89.37081429014971,4.713616360455216,89.9907694996292,4.957477600604038
2013,21720,4,11,97,0,97,0
2014,21720,0,1,18.173839999999995,0.3117531627248357,18.1,2.9
2014,21720,0,2,32.48776000000001,0.664756183850843,32.34,3.46
2014,21720,0,3,43.69976000000001,0.5116145436581773,43.68,3.74
2014,21720,0,4,52.19245999999999,0.52465366799698,52.19,4.35
2014,21720,0,5,61.59558,0.5341266199059774,61.56,3.84
2014,21720,0,6,70.69298000000005,0.8722160519519033,70.63,4.98
2014,21720,0,7,78.52032000000001,1.8338146170481353,78.96,5.62
2014,21720,0,8,84.10440000000007,2.508952595457416,84.77,5.46
2014,21720,0,9,91.72065022421525,3.4927687453999363,92.09,3.96
2014,21720,0,10,96,0,96,0
2014,21720,1,1,18.760800000000003,0.3585801436762467,18.64,2.7
2014,21720,1,2,32.857379999999985,0.6716075110492702,32.5,3.16
2014,21720,1,3,43.6616,0.6154000930688085,43.6,3.92
2014,21720,1,4,52.332800000000034,0.7656321212502648,52.32,4.35
2014,21720,1,5,60.77382000000006,0.8165541801118381,60.79,3.93
2014,21720,1,6,69.56263999999994,0.916897175948604,69.57,4.33
2014,21720,1,7,75.00968,2.907662514839093,75.33,5.27
2014,21720,1,8,82.16492985971949,3.6996197222752465,83.27,6.57
2014,21720,1,9,90.01015625000001,1.3543909618167793,90.37,1.49
2014,21720,2,1,18.69062,0.38111772070328626,18.65,2.64
2014,21720,2,2,32.4206,0.7133347973189955,32.19,3.62
2014,21720,2,3,43.70643999999997,0.5802550458517988,43.72,3.61
2014,21720,2,4,52.17277999999997,0.6957659463528009,52.12,4.35
2014,21720,2,5,62.31814,0.6445898949450966,62.21,3.63
2014,21720,2,6,71.80172,1.5180726368198991,71.66,5.33
2014,21720,2,7,80.60063999999998,1.1437508130027667,81.1,3.89
2014,21720,2,8,87.38997971602437,2.6156226620361025,86.87,3.39
2014,21720,2,9,92.36898630136983,4.575167781986615,93.28,4.95
2014,21720,2,10,96,0,96,0
2014,21720,3,1,15.37868000000002,0.5882352412071178,15.29,2.35
2014,21720,3,2,27.35773504273503,4.54230346509871,24.39,2.46
2014,21720,3,3,41.4701269035533,5.314029703406739,41.32,6.06
2014,21720,3,4,55.13051446945342,1.4495406588171833,55.14,3.58
2014,21720,3,5,58.600546623794166,1.9325977896002047,58.62,3.31
2014,21720,3,6,74.27858064516133,1.8588220297100806,74.46,3.57
2014,21720,3,7,79.82427777777777,3.011046520972189,81.26,2.16
2014,21720,3,8,78.47992366412214,3.357494371650751,80.65,2.76
2014,21720,4,1,18.193201627154796,0.3226701649126497,18.104895426962067,2.619855576873883
2014,21720,4,2,32.6051909444132,0.6105475391388606,32.31581991986373,3.3924627424801606
2014,21720,4,3,43.68717960401214,0.5000548233568775,43.65581116997482,3.7756131923672998
2014,21720,4,4,52.23385980651604,0.5308271247678815,52.21419966626374,4.349689437931608
2014,21720,4,5,61.552504978940696,0.5547802050194626,61.53133848875659,3.772911035510079
2014,21720,4,6,70.603602389818,0.8810599665745582,70.61476218809749,4.824767799136974
2014,21720,4,7,78.0596554405467,1.8576558697144208,78.59226007038912,4.48707208393827
2014,21720,4,8,83.75540954716746,2.785151967191108,84.97639834474863,5.0496158446206305
2014,21720,4,9,91.58221295667573,3.7057658444017463,92.29053306671362,3.7735204160925018
2014,21720,4,10,96,0,96,0
2014,21740,0,1,13.741099999999989,0.15246731638331626,13.77,1.84
2014,21740,0,2,25.50085999999999,0.468735411690161,25.2,2.22
2014,21740,0,3,31.339500000000008,1.3934928757584588,31.73,2.79
2014,21740,0,4,38.48344,0.8101043788359735,38.51,1.89
2014,21740,0,5,42.28259999999999,0.40345407468603106,42.2,2.36
2014,21740,0,6,45.587079999999965,0.19236705478728702,45.58,2.42
2014,21740,0,7,49.04300000000001,0.33733394192810406,49.03,3.01
2014,21740,0,8,53.574500000000015,0.7636403887214014,53.55,4.31
2014,21740,0,9,55.597120000000004,0.7996197152259041,55.54,3.63
2014,21740,0,10,57.56091999999998,1.5582025362217118,57.43,4.47
2014,21740,0,11,59.06545999999997,1.662517584218486,58.8,4.55
2014,21740,0,12,59.92124000000004,2.2586512509342147,59.47,5
2014,21740,0,13,62.97912000000002,2.964402771754603,62.15,5.58
2014,21740,0,14,63.94953999999999,2.006074839312294,63.74,5
