year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2013,21720,0,1,18.792,1.3118193473188302,15.5,3.48
2013,21720,0,2,29.766000000000002,0.6342160515155699,28.79,3.36
2013,21720,0,3,39.86,1.169337419225093,44.13,4.9
2013,21720,0,4,51.35,0.48471641193588494,50.52,5.29
2013,21720,0,5,59.324,1.1392673084048353,61.93,6
2013,21720,0,6,64.256,0.17357995275953084,66.37,6.18
2013,21720,0,7,69.262,1.4426260776791697,75.42,8.1
2013,21720,0,8,73.73800000000001,1.0795462009566792,76.13,6.25
2013,21720,0,9,75.888,4.022122573965144,81.93,7.73
2013,21720,0,10,79.05199999999999,1.816017621059885,88.32,7.74
2013,21720,0,11,88.61666666666667,11.121638068797838,83.91,6.9
2013,21720,0,12,78,0,99.04,2
2013,21720,0,13,78,NA,92,0
2013,21720,1,1,21.684,1.701419995180496,17.82,3.3
2013,21720,1,2,29.848000000000003,0.9304138863968017,28.73,3.42
2013,21720,1,3,40.232,1.364869957175406,44.01,4.56
2013,21720,1,4,51.884,1.428821192452015,50.51,5.08
2013,21720,1,5,59.388,1.2413379878179844,61.03,5.19
2013,21720,1,6,63.181999999999995,0.8700114941769433,66.61,6.29
2013,21720,1,7,68.74600000000001,1.476340069225246,71.74,6.73
2013,21720,1,8,73.726,4.9906141906583,75.67,5.32
2013,21720,1,9,77.45,3.7856571424258703,81.06,6.55
2013,21720,1,10,80.16250000000001,5.7399789488580275,80,0
2013,21720,1,11,70.68,NA,81.76,5.57
2013,21720,1,14,80,NA,NA,NA
2013,21720,1,17,78,NA,NA,NA
2013,21720,2,1,23.6,0.894986033410579,18.19,3.47
2013,21720,2,2,29.85,0.48150804770013983,28.87,3.27
2013,21720,2,3,38.826,2.318130712449151,44.24,5.21
2013,21720,2,4,51.656000000000006,0.6532074708697082,50.64,5.55
2013,21720,2,5,59.81999999999999,1.1378268761107728,63.03,6.63
2013,21720,2,6,63.532,1.8959878691595051,66.35,6.35
2013,21720,2,7,68.396,2.671241284496777,78.23,7.99
2013,21720,2,8,73.44,2.433259131288731,76.1,7.03
2013,21720,2,9,79.54400000000001,2.12805779996691,82.06,7.96
2013,21720,2,10,82.8475,4.812257786112459,92,0
2013,21720,2,11,92.53,0.7495331880577419,94,0
2013,21720,2,14,92,NA,NA,NA
2013,21720,3,1,13.524000000000001,0.2680111937960802,13.41,1.86
2013,21720,3,2,14.540000000000003,2.018142710513802,23,0
2013,21720,3,3,44.158,2.9942060717325405,44.02,0.81
2013,21720,3,4,59.416,5.090940973926133,48.71,8.74
2013,21720,3,5,64.67,2.136199897013386,65.45,4.78
2013,21720,3,6,65.88399999999999,3.9128864026444745,67.8,5.98
2013,21720,3,7,70.4,3.0849797406141914,74.74,7.45
2013,21720,3,8,72.164,5.643042619013254,76.18,6.28
2013,21720,3,9,76.66666666666667,7.505553499465135,NA,NA
2013,21720,3,11,68,NA,NA,NA
2013,21720,4,1,19.03002933810384,1.2058480962521605,15.551789079916837,2.5691046324039193
2013,21720,4,2,29.712602105633987,0.5807326910067061,28.797720522631998,3.3467239137011333
2013,21720,4,3,39.501316998592635,1.7441806534075024,44.126989638988206,4.8887695822548745
2013,21720,4,4,51.77937599475695,0.9650011290459098,50.57324625503006,5.313065635196944
2013,21720,4,5,59.61600753720977,1.1761698642282754,62.0379644950118,5.911540724066634
2013,21720,4,6,63.43797651903178,1.0150413691286204,66.47771557482297,6.32047327001482
2013,21720,4,7,68.62643686346395,1.5758195852471508,75.27122268148382,7.415999612973646
2013,21720,4,8,72.74541280306232,2.1047637412473033,75.89716382051758,6.220277433515816
2013,21720,4,9,78.62736437207587,3.1995662735108414,81.60803596180013,7.322730706138176
2013,21720,4,10,81.1806046950025,5.294518585615565,88.13011863758132,0
2013,21720,4,11,85.2445239081214,12.629940049580764,84.22721712453323,4.447254952316171
2013,21720,4,14,89.40783293034144,NA,NA,NA
2013,21720,4,17,78,NA,NA,NA
2014,21720,0,1,18.444000000000003,0.4867545582734691,17.99,2.78
2014,21720,0,2,33.224000000000004,1.2771178489082369,31.92,3.54
2014,21720,0,3,43.644,0.877826862200058,44.4,5.03
2014,21720,0,4,50.86,0.5502726596879055,51.84,6.35
2014,21720,0,5,56.56,1.426481685827058,61.32,5.94
2014,21720,0,6,64.142,1.9611782172969385,67.53,7.09
2014,21720,0,7,68.24199999999999,1.0621534729030475,71.43,7.92
2014,21720,0,8,76.97999999999999,5.190284192604491,80.56,8.44
2014,21720,0,9,82.58,3.746918734106732,84.23,5.72
2014,21720,0,10,79.07499999999999,9.778413300053682,84.55,7.16
2014,21720,0,11,89.62,4.780041840821065,NA,NA
2014,21720,1,1,19.108,0.4970613644209336,18.46,2.56
2014,21720,1,2,33.348,0.5551306152609482,32.14,3.4
2014,21720,1,3,44.148,1.6216103107713637,44.68,4.91
2014,21720,1,4,50.234,0.4924225827477856,51.73,6.12
2014,21720,1,5,55.586,2.4395552873423476,61.81,5.41
2014,21720,1,6,63.23199999999999,2.038079978803578,65.8,7.01
2014,21720,1,7,68.366,3.1925428736353716,71.12,7.46
2014,21720,1,8,72.06,5.6267708323691314,74.86,7.75
2014,21720,1,9,76.1975,7.623955119665032,83.21,4.24
2014,21720,1,10,86.97,2.870853531617384,82.79,7.34
2014,21720,1,11,75,NA,NA,NA
2014,21720,2,1,19.886,0.5249095160120464,18.58,2.53
2014,21720,2,2,33.698,2.24968219977845,31.76,3.6
2014,21720,2,3,43.478,1.1322411403936903,44.11,5.05
