year,survey,species_code,stratum,hauljoin,sex,length,age,lat_mid,long_mid
2013,98,21720,10,-9895,1,500,3,58.333345,-163.35774
2013,98,21720,10,-9895,1,490,3,58.333345,-163.35774
2013,98,21720,10,-9895,1,440,4,58.333345,-163.35774
2013,98,21720,10,-9895,1,320,2,58.333345,-163.35774
2013,98,21720,10,-9895,1,300,2,58.333345,-163.35774
2013,98,21720,10,-9895,1,160,1,58.333345,-163.35774
2013,98,21720,10,-9895,1,550,4,58.333345,-163.35774
2013,98,21720,10,-9895,1,460,3,58.333345,-163.35774
2013,98,21720,10,-9895,1,280,2,58.333345,-163.35774
2013,98,21720,10,-9895,1,290,2,58.333345,-163.35774
2013,98,21720,10,-9895,1,350,2,58.333345,-163.35774
2013,98,21720,10,-9895,1,240,2,58.333345,-163.35774
2013,98,21720,10,-9895,3,140,1,58.333345,-163.35774
2013,98,21720,10,-9895,3,130,1,58.333345,-163.35774
2013,98,21720,10,-9895,3,110,1,58.333345,-163.35774
2013,98,21720,10,-9895,3,100,1,58.333345,-163.35774
2013,98,21720,10,-9895,1,330,2,58.333345,-163.35774
2013,98,21740,10,-9897,3,110,1,58.99022,-163.355315
2013,98,21740,10,-9897,3,110,1,58.99022,-163.355315
2013,98,21740,10,-9899,3,120,1,59.330075,-164.013235
2013,98,21740,10,-9899,3,110,1,59.330075,-164.013235
2013,98,21720,10,-9902,1,680,6,59.01138,-165.302825
2013,98,21720,10,-9902,1,670,5,59.01138,-165.302825
2013,98,21720,10,-9902,1,310,2,59.01138,-165.302825
2013,98,21720,10,-9902,1,360,2,59.01138,-165.302825
2013,98,21720,10,-9902,1,260,2,59.01138,-165.302825
2013,98,21720,10,-9902,2,720,5,59.01138,-165.302825
2013,98,21720,10,-9902,2,630,5,59.01138,-165.302825
2013,98,21720,10,-9902,2,640,7,59.01138,-165.302825
2013,98,21720,10,-9902,2,780,6,59.01138,-165.302825
2013,98,21720,10,-9902,2,760,7,59.01138,-165.302825
2013,98,21740,10,-9902,3,90,1,59.01138,-165.302825
2013,98,21740,10,-9902,3,100,1,59.01138,-165.302825
2013,98,21720,10,-9905,3,150,1,58.667335,-164.652095
2013,98,21720,10,-9905,3,110,1,58.667335,-164.652095
2013,98,21720,10,-9905,3,120,1,58.667335,-164.652095
2013,98,21720,10,-9905,3,90,1,58.667335,-164.652095
2013,98,21720,10,-9905,2,890,7,58.667335,-164.652095
2013,98,21740,10,-9905,3,120,1,58.667335,-164.652095
2013,98,21740,10,-9905,3,120,1,58.667335,-164.652095
2013,98,21740,10,-9986,3,130,1,58.668535,-165.29206
2013,98,21740,10,-9986,3,120,1,58.668535,-165.29206
2013,98,21740,10,-9987,3,120,1,58.32426,-165.291875
2013,98,21740,10,-9987,3,130,1,58.32426,-165.291875
2013,98,21740,10,-9988,3,130,1,57.9921,-165.25148
2013,98,21740,10,-9988,3,120,1,57.9921,-165.25148
2013,98,21740,31,-9990,3,130,1,57.333855,-165.229115
2013,98,21740,31,-9990,3,150,1,57.333855,-165.229115
2013,98,21740,31,-9991,3,130,1,56.994155,-165.22177
2013,98,21740,31,-9991,3,140,1,56.994155,-165.22177
2013,98,21740,31,-9991,1,320,3,56.994155,-165.22177
2013,98,21740,31,-9991,1,650,11,56.994155,-165.22177
2013,98,21740,31,-9991,2,620,11,56.994155,-165.22177
2013,98,21740,31,-9991,2,680,15,56.994155,-165.22177
2013,98,21740,31,-9991,2,660,13,56.994155,-165.22177
2013,98,21740,31,-9991,2,640,14,56.994155,-165.22177
2013,98,21720,31,-9992,1,370,3,56.66507,-165.223495
2013,98,21720,31,-9992,1,450,3,56.66507,-165.223495
2013,98,21720,31,-9992,1,580,5,56.66507,-165.223495
2013,98,21720,31,-9992,2,650,6,56.66507,-165.223495
2013,98,21720,31,-9992,2,760,7,56.66507,-165.223495
2013,98,21720,31,-9992,2,470,3,56.66507,-165.223495
2013,98,21720,31,-9992,2,460,3,56.66507,-165.223495
2013,98,21720,31,-9992,2,420,3,56.66507,-165.223495
2013,98,21720,31,-9992,2,400,3,56.66507,-165.223495
2013,98,21720,31,-9992,2,380,2,56.66507,-165.223495
2013,98,21740,31,-9992,3,130,1,56.66507,-165.223495
2013,98,21740,31,-9992,3,140,1,56.66507,-165.223495
2013,98,21740,31,-9992,2,290,3,56.66507,-165.223495
2013,98,21740,31,-9992,2,660,9,56.66507,-165.223495
2013,98,21740,31,-9992,2,670,13,56.66507,-165.223495
2013,98,21740,31,-9992,1,650,11,56.66507,-165.223495
2013,98,21740,31,-9992,1,600,11,56.66507,-165.223495
2013,98,21740,31,-9992,1,640,11,56.66507,-165.223495
2013,98,21740,31,-9993,2,470,5,56.330115,-165.20321
2013,98,21740,31,-9993,2,620,7,56.330115,-165.20321
2013,98,21740,31,-9993,1,530,6,56.330115,-165.20321
2013,98,21740,31,-9993,1,520,5,56.330115,-165.20321
2013,98,21740,31,-9993,1,500,6,56.330115,-165.20321
2013,98,21740,31,-10069,2,680,14,57.683925,-165.86727
2013,98,21740,31,-10069,2,690,11,57.683925,-165.86727
2013,98,21740,31,-10069,2,620,10,57.683925,-165.86727
2013,98,21740,31,-10069,1,690,21,57.683925,-165.86727
2013,98,21740,10,-10070,2,620,13,58.01354,-165.903065
2013,98,21740,10,-10070,1,670,10,58.01354,-165.903065
2013,98,21740,10,-10070,1,620,9,58.01354,-165.903065
2013,98,21740,10,-10070,1,680,12,58.01354,-165.903065
2013,98,21720,10,-10072,3,130,1,58.675385,-165.94282
2013,98,21720,10,-10072,1,320,2,58.675385,-165.94282
2013,98,21720,10,-10072,1,680,5,58.675385,-165.94282
2013,98,21720,10,-10072,1,500,4,58.675385,-165.94282
2013,98,21720,10,-10072,1,470,3,58.675385,-165.94282
2013,98,21720,10,-10072,1,550,3,58.675385,-165.94282
2013,98,21720,10,-10072,1,590,6,58.675385,-165.94282
